STATION,NAME,DATE,TMAX,TMIN
USW00024234,"SEATTLE BOEING FIELD, WA US",7/11/2016,74,58
USW00024234,"SEATTLE BOEING FIELD, WA US",7/12/2016,77,60
USW00024234,"SEATTLE BOEING FIELD, WA US",7/13/2016,75,58
USW00024234,"SEATTLE BOEING FIELD, WA US",7/14/2016,77,58
USW00024234,"SEATTLE BOEING FIELD, WA US",7/15/2016,76,57
USW00024234,"SEATTLE BOEING FIELD, WA US",7/16/2016,72,59
USW00024234,"SEATTLE BOEING FIELD, WA US",7/17/2016,80,60
USW00024234,"SEATTLE BOEING FIELD, WA US",7/18/2016,73,62
USW00024234,"SEATTLE BOEING FIELD, WA US",7/19/2016,78,61
USW00024234,"SEATTLE BOEING FIELD, WA US",7/20/2016,82,62
USW00024234,"SEATTLE BOEING FIELD, WA US",7/21/2016,81,61
USW00024234,"SEATTLE BOEING FIELD, WA US",7/22/2016,71,61
USW00024234,"SEATTLE BOEING FIELD, WA US",7/23/2016,75,59
USW00024234,"SEATTLE BOEING FIELD, WA US",7/24/2016,80,58
USW00024234,"SEATTLE BOEING FIELD, WA US",7/25/2016,85,60
USW00024234,"SEATTLE BOEING FIELD, WA US",7/26/2016,79,60
USW00024234,"SEATTLE BOEING FIELD, WA US",7/27/2016,83,59
USW00024234,"SEATTLE BOEING FIELD, WA US",7/28/2016,85,62
USW00024234,"SEATTLE BOEING FIELD, WA US",7/29/2016,88,64
USW00024234,"SEATTLE BOEING FIELD, WA US",7/30/2016,76,58
USW00024234,"SEATTLE BOEING FIELD, WA US",7/31/2016,73,57
USW00024234,"SEATTLE BOEING FIELD, WA US",8/1/2016,77,54
USW00024234,"SEATTLE BOEING FIELD, WA US",8/2/2016,73,58
USW00024234,"SEATTLE BOEING FIELD, WA US",8/3/2016,75,60
USW00024234,"SEATTLE BOEING FIELD, WA US",8/4/2016,80,58
USW00024234,"SEATTLE BOEING FIELD, WA US",8/5/2016,79,59
USW00024234,"SEATTLE BOEING FIELD, WA US",8/6/2016,72,55
USW00024234,"SEATTLE BOEING FIELD, WA US",8/7/2016,72,59
USW00024234,"SEATTLE BOEING FIELD, WA US",8/8/2016,73,58
USW00024234,"SEATTLE BOEING FIELD, WA US",8/9/2016,72,60
USW00024234,"SEATTLE BOEING FIELD, WA US",8/10/2016,76,60
USW00024234,"SEATTLE BOEING FIELD, WA US",8/11/2016,80,60
USW00024234,"SEATTLE BOEING FIELD, WA US",8/12/2016,87,62
USW00024234,"SEATTLE BOEING FIELD, WA US",8/13/2016,90,65
USW00024234,"SEATTLE BOEING FIELD, WA US",8/14/2016,83,60
USW00024234,"SEATTLE BOEING FIELD, WA US",8/15/2016,84,61
USW00024234,"SEATTLE BOEING FIELD, WA US",8/16/2016,81,58
USW00024234,"SEATTLE BOEING FIELD, WA US",8/17/2016,,
USW00024234,"SEATTLE BOEING FIELD, WA US",8/18/2016,,
USW00024234,"SEATTLE BOEING FIELD, WA US",8/19/2016,,
USW00024234,"SEATTLE BOEING FIELD, WA US",8/20/2016,,
USW00024234,"SEATTLE BOEING FIELD, WA US",8/21/2016,,
USW00024234,"SEATTLE BOEING FIELD, WA US",8/22/2016,,
USW00024234,"SEATTLE BOEING FIELD, WA US",8/23/2016,79,54
USW00024234,"SEATTLE BOEING FIELD, WA US",8/24/2016,,
USW00024234,"SEATTLE BOEING FIELD, WA US",8/25/2016,,
USW00024234,"SEATTLE BOEING FIELD, WA US",8/26/2016,,
USW00024234,"SEATTLE BOEING FIELD, WA US",8/27/2016,,
USW00024234,"SEATTLE BOEING FIELD, WA US",8/28/2016,75,59
USW00024234,"SEATTLE BOEING FIELD, WA US",8/29/2016,,
USW00024234,"SEATTLE BOEING FIELD, WA US",8/30/2016,70,57
USW00024234,"SEATTLE BOEING FIELD, WA US",8/31/2016,,
USW00024234,"SEATTLE BOEING FIELD, WA US",9/1/2016,,
USW00024234,"SEATTLE BOEING FIELD, WA US",9/2/2016,,
USW00024234,"SEATTLE BOEING FIELD, WA US",9/3/2016,67,55
USW00024234,"SEATTLE BOEING FIELD, WA US",9/4/2016,68,53
USW00024234,"SEATTLE BOEING FIELD, WA US",9/5/2016,68,55
USW00024234,"SEATTLE BOEING FIELD, WA US",9/6/2016,68,55
USW00024234,"SEATTLE BOEING FIELD, WA US",9/7/2016,67,57
USW00024234,"SEATTLE BOEING FIELD, WA US",9/8/2016,72,57
USW00024234,"SEATTLE BOEING FIELD, WA US",9/9/2016,74,49
USW00024234,"SEATTLE BOEING FIELD, WA US",9/10/2016,77,53
USW00024234,"SEATTLE BOEING FIELD, WA US",9/11/2016,70,57
USW00024234,"SEATTLE BOEING FIELD, WA US",9/12/2016,74,55
USW00024234,"SEATTLE BOEING FIELD, WA US",9/13/2016,75,52
USW00024234,"SEATTLE BOEING FIELD, WA US",9/14/2016,79,50
USW00024234,"SEATTLE BOEING FIELD, WA US",9/15/2016,71,53
USW00024234,"SEATTLE BOEING FIELD, WA US",9/16/2016,75,51
USW00024234,"SEATTLE BOEING FIELD, WA US",9/17/2016,68,58
USW00024234,"SEATTLE BOEING FIELD, WA US",9/18/2016,69,53
USW00024234,"SEATTLE BOEING FIELD, WA US",9/19/2016,71,54
USW00024234,"SEATTLE BOEING FIELD, WA US",9/20/2016,67,49
USW00024234,"SEATTLE BOEING FIELD, WA US",9/21/2016,68,51
USW00024234,"SEATTLE BOEING FIELD, WA US",9/22/2016,67,32
USW00024234,"SEATTLE BOEING FIELD, WA US",9/23/2016,64,53
USW00024234,"SEATTLE BOEING FIELD, WA US",9/24/2016,67,56
USW00024234,"SEATTLE BOEING FIELD, WA US",9/25/2016,76,59
USW00024234,"SEATTLE BOEING FIELD, WA US",9/26/2016,77,57
USW00024234,"SEATTLE BOEING FIELD, WA US",9/27/2016,69,57
USW00024234,"SEATTLE BOEING FIELD, WA US",9/28/2016,68,54
USW00024234,"SEATTLE BOEING FIELD, WA US",9/29/2016,66,50
USW00024234,"SEATTLE BOEING FIELD, WA US",9/30/2016,67,46
USW00024234,"SEATTLE BOEING FIELD, WA US",10/1/2016,63,50
USW00024234,"SEATTLE BOEING FIELD, WA US",10/2/2016,65,49
USW00024234,"SEATTLE BOEING FIELD, WA US",10/3/2016,61,51
USW00024234,"SEATTLE BOEING FIELD, WA US",10/4/2016,63,53
USW00024234,"SEATTLE BOEING FIELD, WA US",10/5/2016,66,52
USW00024234,"SEATTLE BOEING FIELD, WA US",10/6/2016,63,54
USW00024234,"SEATTLE BOEING FIELD, WA US",10/7/2016,64,55
USW00024234,"SEATTLE BOEING FIELD, WA US",10/8/2016,68,53
USW00024234,"SEATTLE BOEING FIELD, WA US",10/9/2016,57,50
USW00024234,"SEATTLE BOEING FIELD, WA US",10/10/2016,60,45
USW00024234,"SEATTLE BOEING FIELD, WA US",10/11/2016,62,44
USW00024234,"SEATTLE BOEING FIELD, WA US",10/12/2016,66,38
USW00024234,"SEATTLE BOEING FIELD, WA US",10/13/2016,60,52
USW00024234,"SEATTLE BOEING FIELD, WA US",10/14/2016,60,51
USW00024234,"SEATTLE BOEING FIELD, WA US",10/15/2016,62,50
USW00024234,"SEATTLE BOEING FIELD, WA US",10/16/2016,60,51
USW00024234,"SEATTLE BOEING FIELD, WA US",10/17/2016,60,51
USW00024234,"SEATTLE BOEING FIELD, WA US",10/18/2016,61,47
USW00024234,"SEATTLE BOEING FIELD, WA US",10/19/2016,58,43
USW00024234,"SEATTLE BOEING FIELD, WA US",10/20/2016,62,48
USW00024234,"SEATTLE BOEING FIELD, WA US",10/21/2016,59,48
USW00024234,"SEATTLE BOEING FIELD, WA US",10/22/2016,62,44
USW00024234,"SEATTLE BOEING FIELD, WA US",10/23/2016,62,49
USW00024234,"SEATTLE BOEING FIELD, WA US",10/24/2016,61,49
USW00024234,"SEATTLE BOEING FIELD, WA US",10/25/2016,65,47
USW00024234,"SEATTLE BOEING FIELD, WA US",10/26/2016,58,52
USW00024234,"SEATTLE BOEING FIELD, WA US",10/27/2016,60,51
USW00024234,"SEATTLE BOEING FIELD, WA US",10/28/2016,65,50
USW00024234,"SEATTLE BOEING FIELD, WA US",10/29/2016,117,47
USW00024234,"SEATTLE BOEING FIELD, WA US",10/30/2016,,
USW00024234,"SEATTLE BOEING FIELD, WA US",10/31/2016,59,49
USW00024234,"SEATTLE BOEING FIELD, WA US",11/1/2016,57,49
USW00024234,"SEATTLE BOEING FIELD, WA US",11/2/2016,57,50
USW00024234,"SEATTLE BOEING FIELD, WA US",11/3/2016,65,45
USW00024234,"SEATTLE BOEING FIELD, WA US",11/4/2016,65,42
USW00024234,"SEATTLE BOEING FIELD, WA US",11/5/2016,58,52
USW00024234,"SEATTLE BOEING FIELD, WA US",11/6/2016,61,49
USW00024234,"SEATTLE BOEING FIELD, WA US",11/7/2016,63,50
USW00024234,"SEATTLE BOEING FIELD, WA US",11/8/2016,71,48
USW00024234,"SEATTLE BOEING FIELD, WA US",11/9/2016,65,51
USW00024234,"SEATTLE BOEING FIELD, WA US",11/10/2016,64,47
USW00024234,"SEATTLE BOEING FIELD, WA US",11/11/2016,63,51
USW00024234,"SEATTLE BOEING FIELD, WA US",11/12/2016,59,48
USW00024234,"SEATTLE BOEING FIELD, WA US",11/13/2016,55,46
USW00024234,"SEATTLE BOEING FIELD, WA US",11/14/2016,57,50
USW00024234,"SEATTLE BOEING FIELD, WA US",11/15/2016,55,47
USW00024234,"SEATTLE BOEING FIELD, WA US",11/16/2016,50,44
USW00024234,"SEATTLE BOEING FIELD, WA US",11/17/2016,52,38
USW00024234,"SEATTLE BOEING FIELD, WA US",11/18/2016,55,35
USW00024234,"SEATTLE BOEING FIELD, WA US",11/19/2016,57,47
USW00024234,"SEATTLE BOEING FIELD, WA US",11/20/2016,55,46
USW00024234,"SEATTLE BOEING FIELD, WA US",11/21/2016,54,43
USW00024234,"SEATTLE BOEING FIELD, WA US",11/22/2016,54,40
USW00024234,"SEATTLE BOEING FIELD, WA US",11/23/2016,49,43
USW00024234,"SEATTLE BOEING FIELD, WA US",11/24/2016,52,46
USW00024234,"SEATTLE BOEING FIELD, WA US",11/25/2016,52,39
USW00024234,"SEATTLE BOEING FIELD, WA US",11/26/2016,53,44
USW00024234,"SEATTLE BOEING FIELD, WA US",11/27/2016,48,43
USW00024234,"SEATTLE BOEING FIELD, WA US",11/28/2016,52,37
USW00024234,"SEATTLE BOEING FIELD, WA US",11/29/2016,52,42
USW00024234,"SEATTLE BOEING FIELD, WA US",11/30/2016,52,42
USW00024234,"SEATTLE BOEING FIELD, WA US",12/1/2016,46,38
USW00024234,"SEATTLE BOEING FIELD, WA US",12/2/2016,50,44
USW00024234,"SEATTLE BOEING FIELD, WA US",12/3/2016,49,42
USW00024234,"SEATTLE BOEING FIELD, WA US",12/4/2016,46,35
USW00024234,"SEATTLE BOEING FIELD, WA US",12/5/2016,40,32
USW00024234,"SEATTLE BOEING FIELD, WA US",12/6/2016,42,31
USW00024234,"SEATTLE BOEING FIELD, WA US",12/7/2016,40,27
USW00024234,"SEATTLE BOEING FIELD, WA US",12/8/2016,41,31
USW00024234,"SEATTLE BOEING FIELD, WA US",12/9/2016,36,31
USW00024234,"SEATTLE BOEING FIELD, WA US",12/10/2016,44,34
USW00024234,"SEATTLE BOEING FIELD, WA US",12/11/2016,44,40
USW00024234,"SEATTLE BOEING FIELD, WA US",12/12/2016,43,38
USW00024234,"SEATTLE BOEING FIELD, WA US",12/13/2016,40,33
USW00024234,"SEATTLE BOEING FIELD, WA US",12/14/2016,39,32
USW00024234,"SEATTLE BOEING FIELD, WA US",12/15/2016,39,34
USW00024234,"SEATTLE BOEING FIELD, WA US",12/16/2016,35,23
USW00024234,"SEATTLE BOEING FIELD, WA US",12/17/2016,35,21
USW00024234,"SEATTLE BOEING FIELD, WA US",12/18/2016,39,27
USW00024234,"SEATTLE BOEING FIELD, WA US",12/19/2016,46,36
USW00024234,"SEATTLE BOEING FIELD, WA US",12/20/2016,51,37
USW00024234,"SEATTLE BOEING FIELD, WA US",12/21/2016,49,34
USW00024234,"SEATTLE BOEING FIELD, WA US",12/22/2016,45,34
USW00024234,"SEATTLE BOEING FIELD, WA US",12/23/2016,40,36
USW00024234,"SEATTLE BOEING FIELD, WA US",12/24/2016,41,35
USW00024234,"SEATTLE BOEING FIELD, WA US",12/25/2016,42,32
USW00024234,"SEATTLE BOEING FIELD, WA US",12/26/2016,42,33
USW00024234,"SEATTLE BOEING FIELD, WA US",12/27/2016,47,41
USW00024234,"SEATTLE BOEING FIELD, WA US",12/28/2016,48,37
USW00024234,"SEATTLE BOEING FIELD, WA US",12/29/2016,48,39
USW00024234,"SEATTLE BOEING FIELD, WA US",12/30/2016,57,31
USW00024234,"SEATTLE BOEING FIELD, WA US",12/31/2016,40,31
USW00024234,"SEATTLE BOEING FIELD, WA US",1/1/2017,38,31
USW00024234,"SEATTLE BOEING FIELD, WA US",1/2/2017,37,25
USW00024234,"SEATTLE BOEING FIELD, WA US",1/3/2017,35,27
USW00024234,"SEATTLE BOEING FIELD, WA US",1/4/2017,39,23
USW00024234,"SEATTLE BOEING FIELD, WA US",1/5/2017,37,19
USW00024234,"SEATTLE BOEING FIELD, WA US",1/6/2017,42,18
USW00024234,"SEATTLE BOEING FIELD, WA US",1/7/2017,39,25
USW00024234,"SEATTLE BOEING FIELD, WA US",1/8/2017,46,34
USW00024234,"SEATTLE BOEING FIELD, WA US",1/9/2017,44,34
USW00024234,"SEATTLE BOEING FIELD, WA US",1/10/2017,40,32
USW00024234,"SEATTLE BOEING FIELD, WA US",1/11/2017,36,26
USW00024234,"SEATTLE BOEING FIELD, WA US",1/12/2017,40,21
USW00024234,"SEATTLE BOEING FIELD, WA US",1/13/2017,38,23
USW00024234,"SEATTLE BOEING FIELD, WA US",1/14/2017,43,23
USW00024234,"SEATTLE BOEING FIELD, WA US",1/15/2017,44,23
USW00024234,"SEATTLE BOEING FIELD, WA US",1/16/2017,47,28
USW00024234,"SEATTLE BOEING FIELD, WA US",1/17/2017,46,40
USW00024234,"SEATTLE BOEING FIELD, WA US",1/18/2017,53,44
USW00024234,"SEATTLE BOEING FIELD, WA US",1/19/2017,50,38
USW00024234,"SEATTLE BOEING FIELD, WA US",1/20/2017,53,33
USW00024234,"SEATTLE BOEING FIELD, WA US",1/21/2017,52,39
USW00024234,"SEATTLE BOEING FIELD, WA US",1/22/2017,47,36
USW00024234,"SEATTLE BOEING FIELD, WA US",1/23/2017,48,32
USW00024234,"SEATTLE BOEING FIELD, WA US",1/24/2017,44,29
USW00024234,"SEATTLE BOEING FIELD, WA US",1/25/2017,44,34
USW00024234,"SEATTLE BOEING FIELD, WA US",1/26/2017,48,42
USW00024234,"SEATTLE BOEING FIELD, WA US",1/27/2017,54,36
USW00024234,"SEATTLE BOEING FIELD, WA US",1/28/2017,54,36
USW00024234,"SEATTLE BOEING FIELD, WA US",1/29/2017,49,35
USW00024234,"SEATTLE BOEING FIELD, WA US",1/30/2017,47,42
USW00024234,"SEATTLE BOEING FIELD, WA US",1/31/2017,45,33
USW00024234,"SEATTLE BOEING FIELD, WA US",2/1/2017,45,29
USW00024234,"SEATTLE BOEING FIELD, WA US",2/2/2017,47,26
USW00024234,"SEATTLE BOEING FIELD, WA US",2/3/2017,40,34
USW00024234,"SEATTLE BOEING FIELD, WA US",2/4/2017,46,37
USW00024234,"SEATTLE BOEING FIELD, WA US",2/5/2017,41,33
USW00024234,"SEATTLE BOEING FIELD, WA US",2/6/2017,39,31
USW00024234,"SEATTLE BOEING FIELD, WA US",2/7/2017,40,30
USW00024234,"SEATTLE BOEING FIELD, WA US",2/8/2017,40,36
USW00024234,"SEATTLE BOEING FIELD, WA US",2/9/2017,57,40
USW00024234,"SEATTLE BOEING FIELD, WA US",2/10/2017,49,41
USW00024234,"SEATTLE BOEING FIELD, WA US",2/11/2017,49,36
USW00024234,"SEATTLE BOEING FIELD, WA US",2/12/2017,50,33
USW00024234,"SEATTLE BOEING FIELD, WA US",2/13/2017,54,34
USW00024234,"SEATTLE BOEING FIELD, WA US",2/14/2017,59,32
USW00024234,"SEATTLE BOEING FIELD, WA US",2/15/2017,52,46
USW00024234,"SEATTLE BOEING FIELD, WA US",2/16/2017,54,47
USW00024234,"SEATTLE BOEING FIELD, WA US",2/17/2017,56,42
USW00024234,"SEATTLE BOEING FIELD, WA US",2/18/2017,46,43
USW00024234,"SEATTLE BOEING FIELD, WA US",2/19/2017,48,39
USW00024234,"SEATTLE BOEING FIELD, WA US",2/20/2017,46,39
USW00024234,"SEATTLE BOEING FIELD, WA US",2/21/2017,48,40
USW00024234,"SEATTLE BOEING FIELD, WA US",2/22/2017,47,33
USW00024234,"SEATTLE BOEING FIELD, WA US",2/23/2017,45,33
USW00024234,"SEATTLE BOEING FIELD, WA US",2/24/2017,46,32
USW00024234,"SEATTLE BOEING FIELD, WA US",2/25/2017,45,29
USW00024234,"SEATTLE BOEING FIELD, WA US",2/26/2017,43,36
USW00024234,"SEATTLE BOEING FIELD, WA US",2/27/2017,43,33
USW00024234,"SEATTLE BOEING FIELD, WA US",2/28/2017,49,31
USW00024234,"SEATTLE BOEING FIELD, WA US",3/1/2017,50,43
USW00024234,"SEATTLE BOEING FIELD, WA US",3/2/2017,49,42
USW00024234,"SEATTLE BOEING FIELD, WA US",3/3/2017,51,41
